id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC
M7JG;0;1;0;1;3;4;0;26;1;1;1;0;0;0;1;0;0;1;0;0.6666666666666666;0.0;0.75;1.0
WAGR;1;1;0;3;1;2;0;28;0;1;1;0;0;0;0;0;0;1;0;0.2222222222222222;0.0277777777777777;0.4090909090909091;0.0
FGDB;1;1;0;1;2;3;0;32;1;1;1;0;0;0;1;1;0;1;0;0.6666666666666666;0.8333333333333333;0.75;0.0
EDL6;1;1;0;3;0;3;0;34;1;1;0;0;0;0;1;1;0;0;0;0.1111111111111111;0.0;0.375;0.0
T5KZ;1;1;0;2;1;3;0;33;0;1;0;0;0;0;0;0;0;1;0;0.1111111111111111;0.0;0.45;0.0
LQKL;0;1;0;1;2;3;0;32;0;1;0;0;0;0;0;0;0;0;0;0.1111111111111111;0.0;0.3461538461538461;0.0
Z3W4;1;1;0;3;1;3;0;36;1;1;0;0;0;0;0;0;0;1;0;0.2222222222222222;0.2222222222222222;0.5;0.0
G0ZC;1;1;0;3;1;3;0;35;0;1;0;0;0;0;0;0;0;1;0;0.1111111111111111;0.0;0.45;0.0
PUQ9;1;1;0;2;1;4;0;29;0;1;0;0;0;0;0;0;0;1;0;0.2222222222222222;0.0833333333333333;0.5;0.0
BOXA;1;1;0;3;0;3;0;27;0;1;1;0;0;0;1;0;0;1;0;0.3333333333333333;0.3055555555555555;0.5625;0.0
WFFV;1;1;0;3;1;3;0;36;1;1;1;0;0;0;1;0;0;1;0;0.1111111111111111;0.0;0.45;0.0
HQF6;0;1;0;3;0;3;0;35;0;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
S6T3;0;1;0;3;0;2;0;25;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0
DPUJ;0;1;0;3;1;1;0;26;1;1;0;0;0;0;1;0;0;0;0;0.25;0.0;0.5;0.0
JWZA;0;1;0;3;0;3;0;26;0;1;1;0;0;0;0;0;0;1;0;0.25;0.0;0.4444444444444444;0.0
PDQO;0;1;0;3;1;3;0;38;0;1;1;0;0;0;1;0;0;0;0;0.75;0.8333333333333333;0.8;0.0
